state,fips,stname,year,Month,Total_Victims_Killed,Total_Victims_Wounded,Total_Number_Victims,Number_of_Incidents,Treated,total_donation_amount,total_donation_count,republican_donation_amount,republican_donation_count,democrat_donation_amount,democrat_donation_count,rep_minus_dem_amount,rep_minus_dem_count,median_income,white_pct,black_pct,asian_pct,other_race_pct,unemployed_pct,some_college_pct,bachelors_pct,State,Mean_HFR,total_donation_amount_GVP,total_donation_count_GVP
AL,1,Alabama,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,34135,0.7112,0.2599,0.007,0.0065,0.062,0.2585,0.1218,Alabama,0.526082352871624,0,0
AL,1,Alabama,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34869,0.71,0.2604,0.0075,0.0067,0.0632,0.2837,0.1366,Alabama,0.515324004439223,0,0
AL,1,Alabama,2001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34869,0.71,0.2604,0.0075,0.0067,0.0632,0.2837,0.1366,Alabama,0.515324004439223,0,0
