State,fips,stname,year,Month,Total_Victims_Killed,Total_Victims_Wounded,Total_Number_Victims,Number_of_Incidents,Treated,total_donation_amount,total_donation_count,republican_donation_amount,republican_donation_count,democrat_donation_amount,democrat_donation_count,rep_minus_dem_amount,rep_minus_dem_count,median_income,white_pct,black_pct,asian_pct,other_race_pct,unemployed_pct,some_college_pct,bachelors_pct,Mean_HFR,total_donation_amount_GVP,total_donation_count_GVP
AK,2,Alaska,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,11,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2000,12,0,0,0,0,0,0,0,0,0,0,0,0,0,51571,0.6931,0.0348,0.0401,0.0159,0.0903,0.3574,0.1612,0.613617911680156,0,0
AK,2,Alaska,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,4,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,6,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,11,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2001,12,0,0,0,0,0,0,0,0,0,0,0,0,0,52799,0.692,0.0344,0.0409,0.0162,0.091,0.3869,0.1791,0.607644632095196,0,0
AK,2,Alaska,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,3,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,4,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,5,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,6,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,7,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,9,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,10,0,0,0,0,0,100,1,100,1,0,0,100,1,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,11,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2002,12,0,0,0,0,0,0,0,0,0,0,0,0,0,54057,0.691,0.0339,0.0417,0.0166,0.0917,0.4251,0.197,0.630442042670464,0,0
AK,2,Alaska,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55344,0.69,0.0334,0.0426,0.0169,0.0923,0.4675,0.2148,0.628011736745976,0,0
AK,2,Alaska,2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,55344,0.69,0.0334,0.0426,0.0169,0.0923,0.4675,0.2148,0.628011736745976,0,0
AK,2,Alaska,2003,3,0,0,0,0,0,0,0,0,0,0,0,0,0,55344,0.69,0.0334,0.0426,0.0169,0.0923,0.4675,0.2148,0.628011736745976,0,0
AK,2,Alaska,2003,4,0,0,0,0,0,0,0,0,0,0,0,0,0,55344,0.69,0.0334,0.0426,0.0169,0.0923,0.4675,0.2148,0.628011736745976,0,0
AK,2,Alaska,2003,5,0,0,0,0,0,0,0,0,0,0,0,0,0,55344,0.69,0.0334,0.0426,0.0169,0.0923,0.4675,0.2148,0.628011736745976,0,0
