USPS,GEOID,INTPTLAT,INTPTLONG,note
AL,1,31.1513003,-87.76957543,
AL,2,31.70700815,-86.06548432,
AL,3,33.06192642,-85.90213948,
AL,4,34.06693804,-87.0698851,
AL,5,34.74604643,-86.87491264,
AL,6,33.3853394,-87.06219587,
AL,7,32.41000232,-87.55109401,
AZ,1,33.37297898,-111.9063674,
AZ,2,32.44920027,-112.7098567,
AZ,3,35.19146283,-112.9258476,
AZ,4,33.58899884,-112.0392889,
AZ,5,32.20535058,-110.1295938,
AZ,6,34.75854465,-110.4078422,
AR,1,35.47440035,-91.18742449,
AR,2,35.07755236,-92.55194372,
AR,3,35.68801307,-93.66118824,
AR,4,33.78593473,-92.7789971,
CA,1,39.90242618,-123.3873568,
CA,2,40.79128452,-121.599572,
CA,3,39.48226586,-122.1329223,
CA,4,38.34575469,-119.9368885,
CA,5,38.53906083,-121.4449834,
CA,6,38.33015857,-122.8369618,
CA,7,38.0748943,-122.1065132,
CA,8,37.76221446,-122.4278675,
CA,9,37.81013017,-122.2379526,
CA,10,37.78132633,-121.8248795,
CA,11,38.12525906,-121.2710364,
CA,12,37.61996575,-122.4152089,
CA,13,37.56853554,-122.0209541,
CA,14,37.36761878,-122.2547815,
CA,15,37.15736413,-122.0351539,
CA,16,37.20683921,-121.5872042,
CA,17,36.35517752,-121.2121785,
CA,18,37.31379498,-120.8266375,
CA,19,37.09739099,-119.3616081,
CA,20,36.07422585,-119.8042918,
CA,21,35.53918157,-118.5286908,
CA,22,35.06426552,-120.2275659,
CA,23,34.46614371,-119.0938981,
CA,24,34.1352548,-118.7211992,
CA,25,34.58911424,-118.2361483,
CA,26,34.24184188,-118.4233577,
CA,27,34.25957694,-118.2326625,
CA,28,34.22198596,-117.8756537,
CA,29,34.09241138,-118.4363163,
CA,30,34.09237197,-118.2367057,
CA,31,34.08486106,-118.0420932,
CA,32,34.01713274,-118.3611728,
CA,33,33.9971573,-118.2060463,
CA,34,33.98454469,-118.0383479,
CA,35,33.94556781,-118.3127352,
CA,36,33.46168462,-118.4169626,
CA,37,33.85768048,-118.2411472,
CA,38,33.83507497,-118.1558751,
CA,39,33.88266634,-117.9806085,
CA,40,35.42079748,-116.5741361,
CA,41,33.98607479,-117.732893,
CA,42,34.10694823,-117.4369339,
CA,43,33.76242245,-117.3679705,
CA,44,33.74776011,-115.8141917,
CA,45,33.71454005,-117.9866581,
CA,46,33.76623774,-117.9078768,
CA,47,33.71577916,-117.7403524,
CA,48,33.33759447,-117.0744551,
