USPS,GEOID,INTPTLAT,INTPTLONG                                                                                                                             ,note
CA,SS,33.873616,-118.094666,2023_2_CA45
IA,SS,41.58003,-93.619413,2023_1_IA3
NM,SS,35.022364,-106.750122,2023_12_NM02
IA,SS,41.840451,-94.081308,2024_1_IA03
NM,SS,32.307048,-106.752043,2024_4_NM02
NM,SS,31.998183,-106.657977,2024_5_NM02
AL,101,30.981856,-87.817403,
AL,102,31.702085,-86.076842,
AL,103,33.157607,-85.76216,
AL,104,34.173841,-87.227881,
AL,105,34.738978,-86.591033,
AL,106,33.363555,-86.779225,
AL,107,32.466449,-87.607935,
AK,200,63.347356,-152.839733,
AZ,401,33.698866,-111.661478,
AZ,402,35.117216,-111.054772,
AZ,403,33.424088,-112.121724,
AZ,404,33.384729,-111.859735,
AZ,405,33.305743,-111.655086,
AZ,406,32.373827,-109.977644,
AZ,407,32.261361,-112.321364,
AZ,408,33.788464,-112.201324,
AZ,409,34.602342,-113.66332,
AR,501,35.351172,-91.33508,
AR,502,35.167888,-92.375838,
AR,503,36.000717,-94.029813,
AR,504,34.208983,-93.142469,
CA,601,40.759058,-121.708586,
CA,602,40.071536,-123.464436,
CA,603,37.82646,-118.859763,
CA,604,38.735643,-122.331229,
CA,605,37.7133,-119.850428,
CA,606,38.631719,-121.370921,
CA,607,38.3616,-121.382107,
CA,608,38.113205,-122.119708,
CA,609,37.977874,-121.206741,
CA,610,37.891077,-121.893056,
CA,611,37.727239,-123.032229,
CA,612,37.780127,-122.240801,
CA,613,36.917654,-120.576823,
CA,614,37.632533,-121.839457,
CA,615,37.589067,-122.316684,
CA,616,37.335174,-122.287674,
CA,617,37.426051,-121.964951,
CA,618,36.478692,-121.192912,
CA,619,36.867713,-121.752502,
CA,620,35.756458,-118.67173,
CA,621,36.553876,-119.473299,
CA,622,35.773573,-119.529737,
CA,623,34.942504,-116.43631,
CA,624,34.724843,-120.057905,
CA,625,33.613311,-115.34455,
CA,626,34.45496,-119.06995,
CA,627,34.606629,-118.358284,
CA,628,34.280333,-117.866141,
CA,629,34.287754,-118.389695,
CA,630,34.22809,-118.273626,
CA,631,34.145768,-117.891631,
CA,632,34.0935,-118.657518,
CA,633,34.115584,-117.339115,
CA,634,34.071305,-118.216637,
CA,635,34.037647,-117.619723,
CA,636,33.869819,-118.405296,
CA,637,34.009687,-118.325203,
CA,638,33.968825,-117.971097,
CA,639,33.906185,-117.316456,
CA,640,33.75137,-117.666104,
CA,641,33.630418,-116.58229,
CA,642,33.367336,-118.480709,
CA,643,33.910609,-118.310473,
CA,644,33.806936,-118.241001,
CA,645,33.881665,-118.035199,
CA,646,33.794785,-117.908297,
CA,647,33.634239,-117.89192,
CA,648,33.08375,-116.63769,
CA,649,33.316415,-117.425868,
CA,650,32.716149,-117.224302,
CA,651,32.834756,-117.083194,
CA,652,32.628679,-117.035322,
CO,801,39.76185,-104.881105,
CO,802,40.29582,-106.206861,
CO,803,38.45821,-106.883566,
CO,804,39.318349,-103.248726,
CO,805,38.807274,-104.661743,
CO,806,39.680581,-104.784114,
CO,807,38.886809,-105.635833,
CO,808,40.177746,-104.809462,
CT,901,41.928611,-73.017629,
CT,902,41.653687,-72.206509,
CT,903,41.372075,-72.892659,
CT,904,41.190282,-73.393356,
CT,905,41.694323,-73.209998,
CT,09ZZ,41.166607,-72.842465,
DE,1000,38.998566,-75.441644,
DC,1198,38.904247,-77.016517,
FL,1201,30.615404,-86.817013,
FL,1202,30.245747,-84.777635,
FL,1203,29.778479,-82.728298,
FL,1204,30.330709,-81.777257,
FL,1205,30.101613,-81.459671,
FL,1206,29.272623,-81.640698,
FL,1207,28.873696,-81.094956,
FL,1208,28.149056,-80.681788,
FL,1209,28.119037,-81.173363,
FL,1210,28.541394,-81.293515,
FL,1211,28.583489,-81.854863,
FL,1212,28.579392,-82.568436,
FL,1213,27.931244,-82.836575,
FL,1214,27.863224,-82.541731,
FL,1215,28.102183,-82.216787,
FL,1216,27.578313,-82.383219,
FL,1217,26.997614,-82.164644,
FL,1218,27.268836,-81.379767,
FL,1219,26.448218,-82.021732,
FL,1220,26.446199,-80.587196,
FL,1221,27.138361,-80.3795,
FL,1222,26.574021,-80.123587,
FL,1223,26.281242,-80.133437,
FL,1224,25.881371,-80.16107,
FL,1225,26.048277,-80.275645,
FL,1226,26.022815,-81.081248,
FL,1227,25.691263,-80.250152,
FL,1228,25.215749,-81.158374,
GA,1301,31.425845,-81.805827,
GA,1302,31.764248,-84.398008,
GA,1303,33.205633,-84.775927,
GA,1304,33.710073,-84.100232,
GA,1305,33.746168,-84.402253,
GA,1306,34.246205,-84.233537,
GA,1307,33.921608,-84.058316,
GA,1308,31.732182,-83.296165,
GA,1309,34.606953,-83.764564,
GA,1310,33.684197,-83.374776,
GA,1311,34.247381,-84.649096,
GA,1312,32.782641,-82.287107,
GA,1313,33.607558,-84.503803,
GA,1314,34.491507,-85.098421,
HI,1501,21.326768,-157.878265,
HI,1502,19.828167,-155.495042,
ID,1601,45.310578,-116.034974,
ID,1602,43.443926,-113.364262,
IL,1701,41.417597,-87.952046,
IL,1702,40.771483,-87.942652,
IL,1703,41.93579,-87.974433,
IL,1704,41.829374,-87.809897,
IL,1705,42.081954,-87.984755,
IL,1706,41.736949,-87.892885,
IL,1707,41.878463,-87.840651,
IL,1708,42.02767,-88.197178,
IL,1709,42.243399,-88.089979,
IL,1710,42.352236,-88.051859,
IL,1711,42.000716,-88.395646,
IL,1712,38.295241,-88.769254,
IL,1713,39.12803,-90.009854,
IL,1714,41.569043,-88.739903,
IL,1715,39.826543,-89.77216,
IL,1716,41.394222,-89.449488,
IL,1717,41.071208,-90.258684,
IL,17ZZ,42.175312,-87.422441,
IN,1801,41.51347,-87.162864,
IN,1802,41.208112,-86.241834,
IN,1803,41.042727,-85.21144,
IN,1804,40.315806,-86.853192,
IN,1805,40.281399,-85.792618,
IN,1806,39.68995,-85.514755,
IN,1807,39.824255,-86.138144,
IN,1808,38.744748,-87.140493,
IN,1809,38.890657,-85.766394,
IA,1901,41.464298,-91.732583,
IA,1902,42.684121,-92.178881,
IA,1903,41.139401,-93.971401,
IA,1904,42.465182,-94.944248,
KS,2001,38.775898,-99.543236,
KS,2002,38.406699,-95.729429,
KS,2003,38.553473,-95.063949,
KS,2004,37.558626,-97.76509,
KY,2101,36.965403,-88.342594,
KY,2102,37.468306,-86.34923,
KY,2103,38.190392,-85.700581,
KY,2104,38.525319,-84.454187,
KY,2105,37.381357,-83.528368,
KY,2106,38.00571,-84.24821,
LA,2201,29.674582,-89.807586,
LA,2202,30.043558,-90.609793,
LA,2203,29.97015,-92.49274,
LA,2204,31.741068,-93.116072,
LA,2205,31.731021,-91.765686,
LA,2206,29.519573,-91.319634,
ME,2301,43.845924,-69.92217,
ME,2302,45.510001,-69.08531,
MD,2401,38.74822,-75.933339,
MD,2402,39.512348,-76.848319,
MD,2403,39.17789,-76.730199,
MD,2404,38.924102,-76.912292,
MD,2405,38.48656,-76.720862,
MD,2406,39.564116,-78.895085,
MD,2407,39.270579,-76.563524,
MD,2408,39.097739,-77.124072,
MA,2501,42.18587,-73.073273,
MA,2502,42.428959,-72.202712,
MA,2503,42.584301,-71.589524,
MA,2504,41.973829,-71.234044,
MA,2505,42.386784,-71.258578,
MA,2506,42.619241,-70.885134,
MA,2507,42.305487,-71.079416,
MA,2508,42.20401,-70.973762,
MA,2509,41.703758,-70.49029,
MI,2601,46.065206,-86.230683,
MI,2602,43.65128,-85.720137,
MI,2603,43.189042,-86.311504,
MI,2604,42.467662,-86.151104,
MI,2605,41.992603,-85.147735,
MI,2606,42.248308,-83.71103,
MI,2607,42.735922,-84.344345,
MI,2608,43.392959,-83.978273,
MI,2609,43.425794,-82.938939,
MI,2610,42.584254,-82.995144,
MI,2611,42.582119,-83.334909,
MI,2612,42.387868,-83.286381,
MI,2613,42.324202,-83.114573,
MN,2701,43.904858,-93.531125,
MN,2702,44.550994,-93.373984,
MN,2703,45.022882,-93.510204,
MN,2704,45.001604,-92.990023,
MN,2705,44.983655,-93.292272,
MN,2706,45.292069,-93.838807,
MN,2707,46.207557,-95.666974,
MN,2708,47.400782,-93.233248,
MS,2801,34.263251,-89.005753,
MS,2802,32.938781,-90.434402,
MS,2803,32.188161,-89.41652,
MS,2804,30.930199,-89.039543,
MO,2901,38.726931,-90.305898,
MO,2902,38.533656,-90.956545,
MO,2903,38.4751,-91.724755,
MO,2904,38.227739,-93.484824,
MO,2905,39.02813,-94.460224,
MO,2906,39.872958,-93.183524,
MO,2907,36.918092,-93.710547,
MO,2908,37.128772,-90.920067,
MT,3001,46.922266,-113.485858,
MT,3002,47.071054,-108.146485,
NE,3101,41.377609,-96.979849,
NE,3102,41.228589,-96.45069,
NE,3103,41.540937,-100.152123,
NV,3201,35.864397,-114.949495,
NV,3202,40.528166,-116.989422,
NV,3203,35.987303,-115.565877,
NV,3204,37.802141,-116.212169,
NH,3301,43.407214,-71.186953,
NH,3302,43.767549,-71.697081,
NH,33ZZ,42.904329,-70.75435,
NJ,3401,39.7851,-75.0027,
NJ,3402,39.422695,-74.855363,
NJ,3403,39.97511,-74.611441,
NJ,3404,40.068792,-74.244556,
NJ,3405,41.114104,-74.447415,
NJ,3406,40.484591,-74.362435,
NJ,3407,40.735666,-74.833121,
NJ,3408,40.727686,-74.121396,
NJ,3409,40.895582,-74.141771,
NJ,3410,40.726369,-74.22465,
NJ,3411,40.876625,-74.419,
NJ,3412,40.390802,-74.585178,
NM,3501,34.286789,-105.238316,
NM,3502,33.212951,-107.003303,
NM,3503,35.639243,-105.523639,
NY,3601,40.998158,-72.569502,
NY,3602,40.720119,-73.105456,
NY,3603,40.832925,-73.596541,
NY,3604,40.627348,-73.607807,
NY,3605,40.669704,-73.804108,
NY,3606,40.736388,-73.831481,
NY,3607,40.712392,-73.91991,
NY,3608,40.61125,-73.917085,
NY,3609,40.638602,-73.950842,
NY,3610,40.681186,-74.003787,
NY,3611,40.566974,-74.126314,
NY,3612,40.764805,-73.975182,
